id;branch_code;branch_name;location;phone_number;is_active;created_by;created_date;last_modified_by;last_modified_date
1;bah thoughtfully wafer;mmm;lamp whereas beep;following broadly;true;ew;2026-06-12T02:17:58;less monstrous;2026-06-11T22:43:03
2;quicker opposite disgorge;fortunate ultimate;overplay plus drat;gadzooks;true;fatally furthermore;2026-06-11T09:36:50;concerning segregate academics;2026-06-11T16:12:02
3;lively;reluctantly nervous;challenge gosh fellow;vivacious misjudge psst;true;ew times;2026-06-11T13:08:26;throughout cap;2026-06-12T04:26:34
4;until courageously;oh boo total;tabulate glass;for rosin remorseful;false;which amidst boom;2026-06-11T09:40:44;eyeliner majestic meanwhile;2026-06-11T23:17:37
5;swill;hmph;tightly abaft wry;phony disposer;false;and;2026-06-11T09:58:41;uh-huh;2026-06-12T01:36:54
6;how phooey;untidy;fooey heavy;wedding amid suddenly;true;for tremendously;2026-06-11T07:55:30;welcome personal;2026-06-11T16:04:11
7;upsell woot infinite;lounge;armoire;frankly general calmly;true;uh-huh king;2026-06-11T10:17:44;ha grass boo;2026-06-11T19:26:43
8;mom ha;extension meanwhile;statement considering pricey;yum same;true;upon;2026-06-11T11:08:07;insidious amid above;2026-06-12T03:27:27
9;really terribly;valiantly dereference;boo oh;pish tomography gadzooks;false;boohoo quicker;2026-06-11T20:43:25;blank;2026-06-12T00:32:43
10;afraid;goose;frizz;than urgently worth;true;frightfully slime;2026-06-11T14:09:43;reluctantly dearly;2026-06-11T16:26:07
