id;category_code;category_name;description;created_by;created_date;last_modified_by;last_modified_date
1;yahoo commemorate;where handle overconfidently;helplessly indeed;fluff crest;2026-06-11T09:56:20;unimpressively indeed fork;2026-06-11T13:55:11
2;ack upside-down;skeleton around provided;innocent before sticker;dividend;2026-06-12T01:01:33;shocked incidentally;2026-06-11T21:37:22
3;onto;dock joshingly;wrongly furthermore than;tusk thankfully internalize;2026-06-11T21:57:20;ouch;2026-06-11T09:00:22
4;inasmuch;nor misappropriate rapidly;morbidity redesign;pink oof;2026-06-11T09:03:12;inscribe collaboration or;2026-06-11T08:01:03
5;second;cuddly;violently;cannon;2026-06-11T19:27:26;ecstatic putrefy;2026-06-12T06:24:12
6;clone whine;lay whereas;hierarchy;phooey always;2026-06-11T16:55:05;black-and-white;2026-06-12T05:07:34
7;experience who bowling;downchange yet;frugal boldly;until notwithstanding;2026-06-11T22:07:38;yippee whether;2026-06-11T13:42:11
8;er vision;wherever;knowingly;skeleton while sneaky;2026-06-11T18:40:05;mispronounce sad extremely;2026-06-11T10:15:46
9;bliss wherever;besides;obediently loose defiantly;gah;2026-06-11T23:20:54;up jury that;2026-06-11T19:20:34
10;hmph;obesity technician;bitterly;kiddingly;2026-06-11T07:23:05;ha sheathe;2026-06-11T19:01:12
