id;category_code;sub_category_code;sub_category_name;created_by;created_date;last_modified_by;last_modified_date
1;atop round;gust;celebrate;ouch yippee vice;2026-06-11T16:52:37;afore;2026-06-11T19:02:50
2;woot;if toothpick;inwardly;evenly heartache off;2026-06-12T02:14:56;yet gleefully;2026-06-11T19:36:49
3;phooey;government;boldly word indeed;phooey fooey lest;2026-06-12T04:09:39;unlined vision;2026-06-12T06:45:25
4;unsightly fortunately;careless ha perfectly;hornet please gust;stigmatize gosh;2026-06-11T09:03:27;fooey manner;2026-06-11T10:23:35
5;emboss;out axe;oxidise;down underplay international;2026-06-12T04:36:59;shark but;2026-06-12T05:26:30
6;premise phooey bleakly;commercial arrange bleakly;kissingly bleakly joint;usually mobilize boo;2026-06-12T00:56:08;meh indeed following;2026-06-11T21:57:37
7;marketplace throughout;even pointed hm;stack;imaginary vestment cruel;2026-06-11T18:08:32;short-term spirit;2026-06-11T07:47:52
8;wedge blah;down times through;even like;chainstay manage bashfully;2026-06-11T18:17:55;chunter;2026-06-11T07:15:54
9;indeed vice;unlike address lean;retract what;bah machine;2026-06-11T09:11:29;when er jaggedly;2026-06-12T00:45:16
10;notarize ad;alienated;duh begonia;finally bolster;2026-06-11T10:04:37;teammate far-off;2026-06-11T20:49:29
