id;branch_code;petty_cash_code;date;petty_cash_voucher_no;description;cash_in;cash_out;running_balance;linked_account_code;reference_no;created_by;created_date;last_modified_by;last_modified_date
1;carelessly;hence;2026-06-12;mutate but plagiarise;hole whenever;24550.94;4206.02;6139.88;drat;incidentally talkative thoroughly;enchanting fort;2026-06-11T20:11:03;lid marathon though;2026-06-11T10:48:47
2;anti although of;sick absent once;2026-06-11;gloom of;which toward whereas;30296.22;5710.1;8899.82;unfit;strident tuber;curl;2026-06-11T18:12:18;waltz;2026-06-11T11:15:36
3;abnormally;upward;2026-06-11;pension yum;flashy formation supposing;8619.38;13616.73;8655.85;character lest;incidentally clavicle;quizzically gladly;2026-06-12T03:47:42;raw;2026-06-11T16:28:26
4;midst intensely favorite;aboard however who;2026-06-12;respectful splurge than;daintily circa;17195.01;29004.35;4689.11;winding soup yippee;dreamily clear festival;yuck or pfft;2026-06-11T11:54:21;eventually;2026-06-12T06:21:21
5;sometimes;than mechanically phooey;2026-06-12;now farm;whether jubilantly;21642.46;11251.33;12610.3;ick;ouch now;whoa how;2026-06-11T17:10:05;conversation the;2026-06-11T08:20:08
6;juicy inasmuch;optimistically glider fairly;2026-06-11;ouch sign;astride unless;26017.55;19737.46;30583.32;from;boo decriminalize;bleakly;2026-06-12T07:01:36;pop wherever stealthily;2026-06-11T17:59:43
7;vibration whenever whenever;noxious onto;2026-06-11;sans because;yippee;22804.05;9586.98;2200.08;duh stratify to;drab;openly yahoo;2026-06-11T18:48:58;disapprove suddenly upbeat;2026-06-11T14:04:20
8;ha majority spanish;ack;2026-06-11;boo nor;internationalize;13147.79;12158.12;12948.22;tempting;near;for plus circumnavigate;2026-06-11T10:11:13;because psst;2026-06-11T20:40:52
9;yuck;where;2026-06-12;wrongly when platypus;huzzah hubris think;806.05;5508.28;31061.19;indeed grubby;schnitzel yum;cosset;2026-06-11T11:14:04;bashfully ack soon;2026-06-11T22:29:09
10;approximate than;yippee more wide;2026-06-11;unnaturally an;abandoned pace that;2148.83;18555.24;13058.15;how shore;eek international oof;underneath guilty;2026-06-11T11:42:04;exactly fervently atomize;2026-06-11T17:54:37
