id;asset_category_code;asset_sub_category_code;asset_sub_category_name;created_by;created_date;last_modified_by;last_modified_date
1;over;bah savour necklace;inwardly lecture congregate;outside dependent;2026-06-11T10:04:22;yet;2026-06-11T18:30:12
2;powerless;pecan since and;challenge;pish;2026-06-11T07:48:28;anneal break hunt;2026-06-11T17:43:07
3;whose likewise as;after bookcase um;except hippodrome;splurge naughty seldom;2026-06-11T23:54:13;tepid;2026-06-11T23:25:49
4;properly;tighten;worriedly unto oxygenate;turbulent;2026-06-11T11:38:37;consequently mammoth;2026-06-12T04:36:52
5;throughout once;er;divert;thorough translation;2026-06-12T05:17:41;so animated;2026-06-12T03:34:30
6;attest;alongside informal mmm;who whoa;celsius modulo intently;2026-06-11T23:40:22;buzzing oddball while;2026-06-11T18:45:44
7;gadzooks;scarily;pish;frenetically wherever at;2026-06-11T10:41:25;a duh;2026-06-11T14:59:07
8;corral triumphantly pixellate;daddy during;crafty excepting;edge;2026-06-11T18:10:50;furthermore yippee;2026-06-11T13:10:33
9;middle;fumigate;mostly onto;qua;2026-06-11T07:33:53;goose;2026-06-11T12:41:12
10;bewail;blah grouper;till continually;aside ha;2026-06-11T10:41:26;but;2026-06-12T07:00:41
