id;branch_code;asset_register_code;asset_category_code;asset_sub_category_code;asset_name;category;purchase_date;purchase_cost;current_value;depreciation_rate;accumulated_depreciation;created_by;created_date;last_modified_by;last_modified_date
1;glossy porter;pillory;duffel;fooey;heavily admired superb;ghost;2026-06-11;18306.45;165.48;21968.16;25610.88;furthermore past conceptualize;2026-06-11T09:43:47;impure devoted shout;2026-06-11T20:07:52
2;strictly;accountability next;watery that;boastfully;bah replacement;but;2026-06-11;11243.36;19016.85;16202.16;26758.85;crossly nor;2026-06-11T10:54:39;someplace;2026-06-12T01:38:10
3;meanwhile;fairly huzzah afore;eek;offset;narrow;ah;2026-06-11;18913.26;22721.36;30106.67;21697.02;uh-huh provided;2026-06-12T00:37:41;yowza;2026-06-12T04:24:16
4;hassle preclude qua;usefully;serpentine;or to promptly;wherever;hm adaptation confute;2026-06-11;8546.39;19743.15;31978.01;13376.27;midst unto;2026-06-11T19:57:43;gadzooks;2026-06-11T21:18:53
5;instantly tank;hungrily;indeed into table;including amidst jagged;ew for from;overconfidently desecrate vacantly;2026-06-11;5136.11;1189.98;21927.77;9409.8;whether;2026-06-12T01:16:03;ascertain highly geez;2026-06-11T09:50:14
6;before potable;ligate;after;plus fatally questionably;eek where;eke surprisingly;2026-06-12;6028.32;8245.98;8176.72;30745.63;salty superb very;2026-06-12T04:31:26;yet;2026-06-11T14:47:23
7;ha correctly;despite;psst;which;rare;foretell;2026-06-12;17796.72;96.4;21824.14;12892.81;dearly silently birth;2026-06-11T15:36:37;weakly duh but;2026-06-11T19:08:19
8;towards;psst even rewrite;meh;deadly times;who concerning arbitrate;aw;2026-06-12;14041.56;25362.94;31907.41;26041.11;structure meh immediate;2026-06-11T16:06:50;quick;2026-06-11T18:49:03
9;gosh next questioningly;joshingly without hearten;bob;frightfully;outside;following smoothly next;2026-06-11;8647.78;3844.88;4434.61;12945.46;clean at mmm;2026-06-11T07:34:53;till;2026-06-11T15:20:54
10;synthesise pasta;modulo;impolite discontinue yowza;educated brr geez;warmly fortunate puff;a;2026-06-11;23300.1;31905.94;1911.08;19586.35;encode;2026-06-12T04:18:53;since;2026-06-11T09:01:24
