id;asset_register_code;depreciation_date;depreciation_amount;value_after_depreciation;processed_by;created_by;created_date;last_modified_by;last_modified_date
1;why unfreeze traffic;2026-06-11;24877.08;20000.91;anti meanwhile solicit;broadly hold or;2026-06-12T00:28:53;brr ouch but;2026-06-11T11:40:04
2;frank but qua;2026-06-11;9896.75;7311.7;pace;anenst packaging;2026-06-11T17:41:25;pertain;2026-06-11T13:46:21
3;whenever that vibrant;2026-06-11;5270.49;6507.76;march anesthetize yet;joyously needily;2026-06-11T12:13:35;round flame yearly;2026-06-11T20:26:10
4;um;2026-06-11;24276.51;19687.35;whose;spork;2026-06-11T19:47:42;minus spectate;2026-06-11T17:22:58
5;frenetically pace;2026-06-12;18854.32;14987.67;gaseous daily;duh cantaloupe incidentally;2026-06-11T18:04:26;attend folklore;2026-06-12T01:41:51
6;wrongly;2026-06-12;6381.63;10539.64;live beneath widow;solidly oof;2026-06-11T19:31:49;oh ew;2026-06-12T03:50:12
7;brr notwithstanding;2026-06-12;25001.28;31710.68;in enhance safe;priesthood;2026-06-11T07:32:21;astride generally kinase;2026-06-11T23:38:23
8;peony quaff;2026-06-12;16788.04;12509.97;for freely fess;gosh;2026-06-12T02:58:01;for surprised plump;2026-06-11T20:31:22
9;outside;2026-06-11;19211.63;24591.31;versus mobilize metabolite;now handy individual;2026-06-11T16:57:27;openly sandbar;2026-06-11T11:06:44
10;storyboard rawhide;2026-06-11;6911.59;11630.17;yuck who;bug how unto;2026-06-11T09:24:07;queasily gladly;2026-06-12T00:03:19
