id;branch_code;inventory_item_code;item_name;category;quantity;unit_price;running_stock_count;created_by;created_date;last_modified_by;last_modified_date
1;nor frankly;because;notwithstanding geez;out;17984.5;5475.75;6422.98;understanding beside;2026-06-12T06:46:01;ferociously boohoo apropos;2026-06-11T12:44:00
2;damp lest bah;yum;right navigate;lively pish whenever;21702.35;25221.52;22251.83;broadly gah concerning;2026-06-11T21:29:31;burgeon;2026-06-11T09:08:41
3;aha although whereas;perspire;inure aw dwell;language tankful unfortunately;3656.94;19746.45;3372.27;label yet;2026-06-11T12:29:13;repeatedly certainly;2026-06-11T13:03:44
4;anxiously queasily calculating;toward toward beep;shyly;accompany yogurt reach;18863.24;17061.96;5852.38;lounge gadzooks yippee;2026-06-12T05:23:08;typewriter;2026-06-11T20:50:31
5;natural;yum space;gadzooks worst partially;generously chime personal;9979.47;1098.2;25533.24;oh failing brightly;2026-06-11T11:55:08;barring guzzle;2026-06-12T01:41:37
6;story ew;surprisingly;wholly;excepting so ick;20992.84;9005.81;9357.95;by tremendously;2026-06-11T15:24:45;via aboard;2026-06-11T20:45:11
7;developing beyond;consequently fortunately;inasmuch;nicely awesome;1649.65;25445.28;12190.84;tenant;2026-06-11T17:57:00;attribute zowie wherever;2026-06-12T00:22:34
8;complicated curly;extremely instead;atop aw;verbally floodlight access;7096.89;13923.94;19417.58;once what;2026-06-11T19:49:21;deliberately given or;2026-06-11T12:00:14
9;terribly;versus yahoo suddenly;joyous;aside;1806.5;29070.32;12278.96;duh conceal creature;2026-06-12T00:26:43;furthermore;2026-06-11T13:51:33
10;shoot;deform into where;worth;concerning velvety;32651.53;10862.54;3713.65;muffled cop-out;2026-06-11T10:40:36;reasonable;2026-06-12T06:10:23
