id;inventory_item_code;date;reference_no;description;quantity_in;quantity_out;running_balance;created_by;created_date;last_modified_by;last_modified_date
1;wide-eyed;2026-06-12;what;split embossing;24103.29;3479.66;28169.16;stable;2026-06-11T11:00:38;for shimmering;2026-06-12T06:08:48
2;besides;2026-06-11;gosh;whoever vice who;9081.53;17060.5;30566.09;eek greatly;2026-06-11T14:29:44;phew dense;2026-06-11T21:51:49
3;wildly fooey shout;2026-06-11;ferociously;daily solvency questioningly;21301.11;27845.7;31203.01;mmm;2026-06-11T20:25:20;webbed;2026-06-11T11:19:14
4;yuck save;2026-06-12;rationalise sock discontinue;wearily;19806.18;18254.01;2121.33;hence;2026-06-11T12:23:06;terrorise excitedly at;2026-06-11T20:13:06
5;eek;2026-06-11;sting;vice;5382.85;27841.76;29877.56;distant svelte;2026-06-11T16:36:02;painfully;2026-06-11T17:07:46
6;safely nice except;2026-06-11;primary;underneath decode supposing;12255.63;21083.57;24490.17;heavily;2026-06-11T10:02:21;interestingly hm delightfully;2026-06-11T09:42:30
7;how readjust;2026-06-11;rust;light smug knight;8533.24;6880.3;4776.74;question newsstand sweatshop;2026-06-12T03:47:29;considering navigate noxious;2026-06-11T14:04:49
8;during towards as;2026-06-11;inasmuch intrigue;consequently blissfully drab;12033.61;3340.75;28202.75;save truthfully;2026-06-11T08:45:05;hm beloved;2026-06-11T07:36:06
9;zowie what;2026-06-11;coaxingly underneath;gleaming primary;23479.39;14208.11;4944.92;sleepily impressive that;2026-06-12T01:39:58;yippee;2026-06-12T01:04:51
10;frankly;2026-06-11;pillbox;retract unexpectedly cauliflower;4450.72;8561.4;18189.84;beneath yuppify handful;2026-06-11T21:31:42;whereas;2026-06-11T16:16:23
