id;branch_code;liability_code;loan_from;description;liability_type;total_loan_amount;start_date;end_date;interest_percentage;monthly_payment_amount;principal_paid;balance_to_pay;status;created_by;created_date;last_modified_by;last_modified_date
1;fit furiously;bicycle;skyscraper ugh bowler;meanwhile off;LONG_TERM;16944.83;2026-06-11;2026-06-11;12592.07;1240.71;694.54;26154;TO_REVIEW;scale infamous cruelly;2026-06-11T09:33:11;bad comestible;2026-06-12T05:28:08
2;unless mmm;pish;voluntarily print ah;between;LONG_TERM;21992.44;2026-06-11;2026-06-12;18025.51;17568.81;28120.74;10389.94;TO_REVIEW;brand recent;2026-06-11T14:46:49;until;2026-06-11T16:40:45
3;what dish in;pish internal;hm ravage;substitution unless;SHORT_TERM;23890.63;2026-06-11;2026-06-12;8973.55;22910.81;25668.43;21702.08;TO_REVIEW;battle;2026-06-12T01:35:11;meanwhile officially whenever;2026-06-11T19:04:23
4;inexperienced;readjust mob;eek below;till diversity;SHORT_TERM;3171.74;2026-06-12;2026-06-11;15551.64;2373.28;4832;20993;DECLINED;premeditation;2026-06-12T03:13:39;veto almost;2026-06-11T23:18:43
5;whenever taro indeed;that by ouch;behind pointed kissingly;aware;LONG_TERM;23256.8;2026-06-11;2026-06-12;8413.27;6544.81;6923.64;31333.97;TO_REVIEW;till comfortable moor;2026-06-11T19:47:39;with eek;2026-06-11T21:39:59
6;wedding;masticate;stock bony humor;electronics inside aw;LONG_TERM;16834.23;2026-06-11;2026-06-12;20564.45;30783.54;17018.15;19992.92;APPROVED;terribly;2026-06-11T11:15:01;plus;2026-06-12T04:06:25
7;abnegate ignite vol;excluding inasmuch;bitterly zowie lightly;cake hefty splash;LONG_TERM;28842.67;2026-06-12;2026-06-11;16946.43;2450.88;26896.68;29.95;PENDING;obedient;2026-06-11T18:09:25;hm golden lone;2026-06-11T16:04:42
8;fooey;whose lest;bossy qua;haversack why whether;LONG_TERM;28421.5;2026-06-11;2026-06-11;30488.36;21038.06;7082.8;6641.49;TO_REVIEW;absent ouch lashes;2026-06-11T07:38:06;yuck er unblinking;2026-06-11T08:07:28
9;canter vivacious;huzzah;anti stage unless;focused;SHORT_TERM;21179.37;2026-06-11;2026-06-11;8335.59;1882.46;31456.72;4711.41;APPROVED;nor;2026-06-11T21:57:37;scarcely;2026-06-11T09:47:33
10;madly stigmatize;injunction pave;triumphantly impractical;incidentally;SHORT_TERM;24514.66;2026-06-11;2026-06-12;17600.95;8343.1;22337.57;21097.9;APPROVED;forgo difficult ah;2026-06-11T08:55:01;tough;2026-06-11T15:22:21
