id;branch_code;account_code;budget_plan_code;department_name;year;allocated_amount;spent_amount;remaining_amount;used_percentage;alert_status;created_by;created_date;last_modified_by;last_modified_date
1;gah;rekindle voluntarily;eek roundabout;cool a avalanche;10743;14968.3;6587.91;9885.38;8393.27;WARNING_80_PERCENT;fully;2026-06-12T06:44:56;when instead;2026-06-12T02:19:23
2;developing oof ah;digit;powerful unlike;upbeat vanish agitated;22231;31309.86;31017.91;1751.01;11598.19;RED_ALERT_100_PERCENT;nor yellow;2026-06-12T06:43:05;detective fess but;2026-06-12T06:14:08
3;gosh ravioli;unethically gah ah;arcade oh;trouser feminize;25895;3181;31439.28;9257.78;20599.05;RED_ALERT_100_PERCENT;because aha;2026-06-11T16:29:35;these whoever;2026-06-12T05:20:54
4;distorted propound;yahoo as yuck;range;ha representation shore;903;14617.68;24991.9;243.67;16210.87;RED_ALERT_100_PERCENT;deadly naughty from;2026-06-11T21:39:20;entry hmph;2026-06-11T20:14:08
5;husky onto footrest;of;hospitable possession gripper;without apud factorise;18894;19662.38;23962.42;15342.51;5405;NORMAL;frizzy defiantly;2026-06-12T05:16:02;adventurously yieldingly;2026-06-11T20:44:32
6;beside;er invite notwithstanding;characterization crank suitcase;tectonics ha rewrite;4192;19933.24;29928.21;11658.68;11067.75;WARNING_80_PERCENT;director;2026-06-11T07:33:53;gah bah;2026-06-12T04:19:54
7;fondly rosin midst;hard-to-find;foolishly stratify who;fearless whether lava;32420;1788.91;16390.12;4653.87;27340.05;NORMAL;mathematics fiercely though;2026-06-11T12:23:24;astonishing dense;2026-06-11T10:00:53
8;careless meh;ocelot personal account;ack lazy;save;21261;14351.12;16754.71;12360.68;10916.67;RED_ALERT_100_PERCENT;while colorless although;2026-06-11T19:58:10;bind who;2026-06-11T07:26:54
9;almost geez under;for upliftingly gracefully;because though clear;league shoddy perfectly;2630;11462.67;21305.41;30532.01;552.67;NEED_APPROVAL;athwart;2026-06-12T04:03:58;educated unto;2026-06-12T03:52:08
10;tomorrow or;fluffy upliftingly;store;er tragic;24679;25531.62;20531.12;20043.79;24446.36;WARNING_80_PERCENT;whoever;2026-06-11T08:31:40;deduction lest;2026-06-11T15:16:20
